E, G
0.5825,-0.0510911
0.583,-0.0510911
0.5835,-0.0510911
0.584,-0.0510911
0.5845,-0.0510911
0.585,-0.0510911
0.5855,-0.0510911
0.586,-0.0510911
0.5865,-0.051091
0.587,-0.051091
0.5875,-0.051091
0.588,-0.051091
0.5885,-0.051091
0.589,-0.051091
0.5895,-0.051091
0.59,-0.051091
0.5905,-0.051091
0.591,-0.051091
0.5915,-0.051091
0.592,-0.051091
0.5925,-0.051091
0.593,-0.0510909
0.5935,-0.0510909
0.594,-0.0510909
0.5945,-0.0510909
0.595,-0.0510909
0.5955,-0.0510909
0.596,-0.0510909
0.5965,-0.0510909
0.597,-0.0510909
0.5975,-0.0510909
0.598,-0.0510909
0.5985,-0.0510909
0.599,-0.0510909
0.5995,-0.0510909
0.6,-0.0510908
0.6005,-0.0510908
0.601,-0.0510908
0.6015,-0.0510908
0.602,-0.0510908
0.6025,-0.0510908
0.603,-0.0510908
0.6035,-0.0510908
0.604,-0.0510908
0.6045,-0.0510908
0.605,-0.0510908
0.6055,-0.0510908
0.606,-0.0510908
0.6065,-0.0510907
0.607,-0.0510907
0.6075,-0.0510907
0.608,-0.0510907
0.6085,-0.0510907
0.609,-0.0510907
0.6095,-0.0510907
0.61,-0.0510907
0.6105,-0.0510907
0.611,-0.0510907
0.6115,-0.0510907
0.612,-0.0510907
